min_price,max_price,headers,related_links,total_characteristics,char_Диагональ,char_Разрешение,char_Матрица,char_Частота,char_Контрастность,char_Яркость,char_Разъемы
200770,231633.0,Lenovo,2025 год; Legion; игровой; HDMI 2.1; изогнутый; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; динамики; хороший sRGB,7,34.0,3440x1440 (21:9),"*VA, отклик 5 мс, MPRT 0.5 мс",180,3 000:1,350.0,"HDMI, DisplayPort"
59218,76007.0,Acer,2025 год; Nitro; игровой; Adaptive-Sync,7,23.8,1920x1080 (16:9),"IPS, MPRT 1 мс",120,1 000:1,250.0,"HDMI, DisplayPort"
102820,154990.0,Samsung,Odyssey; игровой; HDR; FreeSync; G-Sync,7,25.0,1920x1080 (16:9),"IPS, отклик 1 мс",240,1 000:1,400.0,"HDMI, DisplayPort"
242634,275692.0,AOC,2025 год; Gaming (игровые); игровой; HDMI 2.1; изогнутый; HDR; Adaptive-Sync; хороший sRGB,7,34.0,3440x1440 (21:9),"*VA, отклик 1 мс, MPRT 0.5 мс",240,2 500:1,450.0,"HDMI, DisplayPort"
539990,580206.0,Gigabyte,2024 год; Aorus; игровой; QD-OLED; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; FreeSync; KVM; динамики; хороший DCI-P3,7,27.0,2560x1440 (16:9),"QD-OLED, отклик 0.03 мс",360,1 500 000:1,250.0,"HDMI, DisplayPort, USB C (видео)"
75590,89529.0,Philips,2024 год; Evnia; игровой; HDR; Adaptive-Sync; динамики; хороший NTSC; хороший sRGB; хороший AdobeRGB,7,23.8,1920x1080 (16:9),"IPS, отклик 1 мс, MPRT 0.5 мс",180,1 000:1,300.0,"HDMI, DisplayPort"
90990,108590.0,Dell,2024 год; Series S; TÜV Rheinland; динамики,7,27.0,1920x1080 (16:9),"IPS, отклик 8 мс",100,1 500:1,300.0,HDMI
458079,511003.0,Samsung,Odyssey; игровой; 4K; HDMI 2.1; HDR; FreeSync; динамики,7,43.0,3840x2160 (16:9),"*VA, MPRT 1 мс",144,4 000:1,400.0,"HDMI, DisplayPort, LAN"
135990,,Lenovo,2024 год; HDMI 2.1; HDR; TÜV Rheinland; динамики; хороший sRGB,7,27.0,2560x1440 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",100,1 500:1,350.0,"HDMI, DisplayPort"
67656,86643.0,Samsung,2025 год,7,27.0,1920x1080 (16:9),"IPS, отклик 5 мс",120,1 000:1,250.0,HDMI
157104,176346.0,Dell,2025 год; Series P; HDMI 2.1; USB C хаб; TÜV Rheinland,7,23.8,2560x1440 (16:9),"IPS, отклик 5 мс",100,1 500:1,350.0,"HDMI, DisplayPort"
69990,78900.0,Acer,2025 год; серия S (дизайн корпуса); Adaptive-Sync,7,27.0,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",120,1 500:1,250.0,"VGA, HDMI"
241590,,Asus,TUF; игровой; HDR; TÜV Rheinland; FreeSync; динамики,7,31.5,2560x1440 (16:9),"*VA, MPRT 1 мс",170,3 000:1,300.0,"HDMI, DisplayPort"
58990,78939.0,2E,,7,27.0,1920x1080 (16:9),"IPS, отклик 5 мс",75,1 000:1,230.0,"VGA, HDMI"
388565,436577.0,LG,UltraGear (игровые); игровой; 4K; HDMI 2.1; HDR; Adaptive-Sync; FreeSync,7,31.5,3840x2160 (16:9),"IPS, отклик 1 мс",144,1 000:1,400.0,"HDMI, DisplayPort"
118990,129951.0,AOC,Gaming (игровые); игровой; Adaptive-Sync; FreeSync,5,27.0,2560x1440 (16:9),"*VA, MPRT 1 мс",144,,,"HDMI, DisplayPort"
55990,67173.0,Acer,2025 год; Adaptive-Sync,6,23.8,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",120,,250.0,"VGA, HDMI"
515990,587345.0,AOC,2024 год; AGON; игровой; HDR; Adaptive-Sync,7,24.1,1920x1080 (16:9),"TN+film, отклик 0.5 мс, MPRT 0.3 мс",540,1 000:1,400.0,"HDMI, DisplayPort"
599990,709990.0,Dell,Alienware; игровой; QD-OLED; изогнутый; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; хороший sRGB; хороший DCI-P3,7,34.18,3440x1440 (21:9),"QD-OLED, отклик 1 мс",165,1 000 000:1,1000.0,"HDMI, DisplayPort"
371135,410944.0,Dell,2025 год; Series P; 4K; HDMI 2.1; USB C хаб; Power Delivery; TÜV Rheinland,7,31.5,3840x2160 (16:9),"IPS, отклик 5 мс",100,1 500:1,350.0,"HDMI, DisplayPort, USB C (видео), LAN"
115309,132165.0,AOC,Gaming (игровые); игровой; FreeSync; хороший sRGB,7,24.5,1920x1080 (16:9),"*VA, отклик 1 мс, MPRT 0.5 мс",240,3 000:1,300.0,"HDMI, DisplayPort"
93990,109991.0,Asus,2024 год; TUF; игровой; TÜV Rheinland; Adaptive-Sync; FreeSync; динамики,7,24.5,1920x1080 (16:9),"IPS, отклик 1 мс",180,1 000:1,250.0,"HDMI, DisplayPort"
679530,707265.0,Dell,2025 год; UltraSharp; для графики; 4K; HDMI 2.1; USB C хаб; Power Delivery; HDR; CalMAN; TÜV Rheinland; Adaptive-Sync; KVM; хороший sRGB; хороший DCI-P3,7,31.5,3840x2160 (16:9),"IPS, отклик 5 мс",120,3 000:1,450.0,"HDMI, DisplayPort, USB C (видео), Thunderbolt, LAN"
690590,,Philips,2024 год; Evnia; игровой; QD-OLED; Power Delivery; изогнутый; HDR; Adaptive-Sync; FreeSync; KVM; динамики; хороший NTSC; хороший sRGB; хороший AdobeRGB; хороший DCI-P3,7,48.9,5120x1440 (32:9),"QD-OLED, отклик 0.03 мс",144,1 000 000:1,250.0,"HDMI, DisplayPort, USB C (видео)"
54990,67895.0,Acer,2025 год,7,24.5,1920x1080 (16:9),"IPS, MPRT 1 мс",120,1 500:1,250.0,"VGA, HDMI"
564990,,Lenovo,2024 год; Legion; игровой; HDMI 2.1; изогнутый; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; KVM; динамики,7,44.5,5120x1440 (32:9),"*VA, отклик 4 мс, MPRT 1 мс",165,3 000:1,450.0,"HDMI, DisplayPort, USB C (видео), LAN"
539990,564134.0,Asus,2024 год; ROG Strix; игровой; 4K; HDR; TÜV Rheinland; Adaptive-Sync,7,27.0,3840x2160 (16:9),"IPS, MPRT 1 мс",144,1 000:1,350.0,"HDMI, DisplayPort"
144599,174307.0,Asus,TUF; игровой; TÜV Rheinland; Adaptive-Sync; FreeSync; динамики,7,23.8,1920x1080 (16:9),"IPS, отклик 1 мс",270,1 000:1,350.0,"HDMI, DisplayPort"
548758,640880.0,Acer,2024 год; Predator; игровой; OLED; Power Delivery; изогнутый; HDR; Adaptive-Sync; FreeSync; динамики; хороший DCI-P3,7,34.0,3440x1440 (21:9),"OLED, отклик 0.1 мс",175,1 500 000:1,1000.0,"HDMI, DisplayPort"
70840,,MSI,2024 год; PRO; TÜV Rheinland; FreeSync; динамики; хороший sRGB,7,24.5,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",100,1 300:1,300.0,"VGA, HDMI"
126990,136194.0,Lenovo,2024 год; Legion; игровой; HDMI 2.1; HDR; TÜV Rheinland; FreeSync; динамики,7,24.5,1920x1080 (16:9),"*VA, отклик 1 мс, MPRT 0.5 мс",240,3 000:1,350.0,"HDMI, DisplayPort"
654954,739527.0,MSI,2024 год; игровой; QD-OLED; HDMI 2.1; Power Delivery; изогнутый; HDR; TÜV Rheinland; Adaptive-Sync; KVM; хороший sRGB; хороший DCI-P3,7,34.0,3440x1440 (21:9),"QD-OLED, отклик 0.03 мс",240,1 500 000:1,250.0,"HDMI, DisplayPort, USB C (видео)"
156415,181505.0,Acer,2025 год; Nitro; игровой; HDMI 2.1; HDR; динамики,7,27.0,2560x1440 (16:9),"IPS, отклик 1 мс",300,1 000:1,250.0,"HDMI, DisplayPort"
247595,278142.0,Dell,2025 год; Alienware; игровой; HDMI 2.1; изогнутый; HDR; Adaptive-Sync; FreeSync,7,34.0,3440x1440 (21:9),"*VA, отклик 1 мс",180,3 000:1,400.0,"HDMI, DisplayPort"
210000,238700.0,Samsung,Odyssey; изогнутый; HDR; FreeSync,7,34.0,3440x1440 (21:9),"*VA, отклик 4 мс, MPRT 1 мс",165,2 500:1,250.0,"HDMI, DisplayPort"
117860,138040.0,Lenovo,2024 год; Legion; игровой; HDMI 2.1; HDR; TÜV Rheinland; FreeSync; динамики,7,24.5,1920x1080 (16:9),"IPS, отклик 5 мс, MPRT 0.5 мс",165,1 000:1,350.0,"HDMI, DisplayPort"
144296,174332.0,Samsung,2024 год; 4K; HDR; TÜV Rheinland,7,27.0,3840x2160 (16:9),"IPS, отклик 5 мс",60,1 000:1,350.0,"HDMI, DisplayPort"
218000,229148.0,Dell,2025 год; Series S; 4K; HDMI 2.1; HDR; TÜV Rheinland; FreeSync; динамики,7,27.0,3840x2160 (16:9),"IPS, отклик 4 мс",120,1 500:1,350.0,"HDMI, DisplayPort"
598678,698952.0,Samsung,2024 год; Odyssey; игровой; смарт; QD-OLED; HDMI 2.1; изогнутый; HDR; FreeSync; динамики; Bluetooth; Wi-Fi; хороший DCI-P3,7,34.0,3440x1440 (21:9),"QD-OLED, отклик 0.03 мс",175,1 000 000:1,250.0,"HDMI, DisplayPort"
269561,319734.0,Samsung,2024 год; Smart; смарт; 4K; Power Delivery; HDR; динамики; веб-камера; Bluetooth; Wi-Fi,7,31.5,3840x2160 (16:9),"*VA, отклик 4 мс",60,3 000:1,400.0,"HDMI, USB C (видео)"
96990,120931.0,Philips,Evnia; игровой; HDR,7,24.5,1920x1080 (16:9),"*VA, отклик 1 мс, MPRT 0.5 мс",240,3 000:1,300.0,"HDMI, DisplayPort"
74802,85994.0,MSI,2025 год; игровой; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; хороший sRGB,7,23.8,1920x1080 (16:9),"IPS, отклик 0.5 мс",200,1 000:1,300.0,"HDMI, DisplayPort"
249990,259654.0,Iiyama,4K; FreeSync; динамики; хороший NTSC,7,32.0,3840x2160 (16:9),"*VA, отклик 3 мс",60,3 000:1,300.0,"HDMI, DisplayPort"
275990,308477.0,AOC,2024 год; AGON; игровой; HDR; Adaptive-Sync,7,24.5,1920x1080 (16:9),"IPS, отклик 1 мс, MPRT 0.3 мс",390,1 000:1,400.0,"HDMI, DisplayPort"
644590,,Asus,ROG Strix; игровой; 4K; HDMI 2.1; HDR; FreeSync; хороший sRGB,7,32.0,3840x2160 (16:9),"IPS, отклик 1 мс",160,1 000:1,600.0,"HDMI, DisplayPort"
389521,389990.0,Dell,UltraSharp; Power Delivery; TÜV Rheinland; хороший sRGB,7,30.0,2560x1600 (16:10),"IPS, отклик 5 мс",60,1 000:1,400.0,"HDMI, DisplayPort, USB C (видео), LAN"
282540,329990.0,Asus,2024 год; ZenScreen Smart; смарт; 4K; Power Delivery; HDR; TÜV Rheinland; динамики; Bluetooth; Wi-Fi,7,27.0,3840x2160 (16:9),"IPS, отклик 5 мс",60,1 000:1,350.0,"HDMI, DisplayPort, USB C (видео)"
543664,609802.0,Dell,UltraSharp; 4K; USB C хаб; Power Delivery; HDR; TÜV Rheinland; KVM; хороший sRGB; хороший DCI-P3,7,31.5,3840x2160 (16:9),"IPS, отклик 5 мс",60,2 000:1,400.0,"HDMI, DisplayPort, USB C (видео), LAN"
85890,106457.0,MSI,2025 год; игровой; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; хороший sRGB,7,27.0,1920x1080 (16:9),"IPS, отклик 0.5 мс",200,1 000:1,300.0,"HDMI, DisplayPort"
136005,140390.0,Asus,2024 год; ROG Strix; игровой; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; хороший sRGB,7,24.5,1920x1080 (16:9),"IPS, отклик 1 мс",180,1 000:1,400.0,"HDMI, DisplayPort, USB C (видео)"
769990,797909.0,Asus,2024 год; ROG Swift; игровой; 4K; HDMI 2.1; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync,7,27.0,3840x2160 (16:9),"IPS, отклик 1 мс",160,1 000:1,400.0,"HDMI, DisplayPort"
49300,63579.0,Philips,2024 год; E series; динамики; хороший NTSC; хороший sRGB,7,23.8,1920x1080 (16:9),"IPS, отклик 4 мс, MPRT 1 мс",100,1 300:1,250.0,"VGA, HDMI"
65160,85552.0,Samsung,2024 год; Odyssey; игровой; HDR; FreeSync,7,23.8,1920x1080 (16:9),"*VA, MPRT 1 мс",180,3 000:1,250.0,"HDMI, DisplayPort"
141990,168543.0,Acer,2025 год; 4K; HDR; Adaptive-Sync; динамики,7,31.5,3840x2160 (16:9),"*VA, отклик 4 мс",60,3 000:1,250.0,"HDMI, DisplayPort"
1080300,1393480.0,Asus,2024 год; ROG Swift; игровой; 4K; OLED; HDMI 2.1; Power Delivery; HDR; TÜV Rheinland; Adaptive-Sync; FreeSync; KVM; хороший DCI-P3,7,31.5,3840x2160 (16:9),"OLED, отклик 0.03 мс",240,1 500 000:1,250.0,"HDMI, DisplayPort, USB C (видео)"
